Calculated Name	ID Prefix	SRP ID	Syriaca.org URI's	Existing VIAF matched & edited	Not found in Syriac VIAF	New Extended Viaf Record Created	VIAF Record Exists?	Extended VIAF URL	Is a work?	Anonymous?	Shares attribution with	Part of pseudonymous author	Extended VIAF ID	Entry Notes/Comments	Follow-up	Log	Disambiguation	Disambiguation URLs	For Post-Publication Review	Record Description	Questions about Comprehensive VIAF URL matching	Not found in Comprehensive VIAF	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	URL	Name split needs checking	Name split checked	GEDSH en-Start Pg	GEDSH en-Raw	GEDSH en-Entry Num	GEDSH en-Full	GEDSH en-Given	GEDSH en-Family	GEDSH en-Titles	Not an author or work	No Barsoum entry	Double Checked that there is no corresponding entry in Barsoum	Date Needs Checking	GEDSH en-DOB	GEDSH en-DOB Standard	GEDSH en-DOB Not Before	GEDSH en-DOB Not After	GEDSH en-DOD	GEDSH en-DOD Standard	GEDSH en-DOD Not Before	GEDSH en-DOD Not After	GEDSH en-Floruit	GEDSH en-Floruit Standard	GEDSH en-Floruit Not Before	GEDSH en-Floruit Not After	GEDSH en-Reign	GEDSH en-Reign Begin	GEDSH en-Reign Begin Standard	GEDSH en-Reign Begin Not Before	GEDSH en-Reign Begin Not After	GEDSH en-Reign End	GEDSH en-Reign End Standard	GEDSH en-Reign End Not Before	GEDSH en-Reign End Not After	GEDSH en-Name Place	GEDSH en-Name Place URI	GEDSH en-Birth Place URI	GEDSH en-Death Place URI	GEDSH en-Other Place URI	Retroversion of Syriac name from GEDSH	GEDSH Entry Entered	Barsoum en-Entry Num	Barsoum en-Page Num	Barsoum en-Raw	Barsoum en-Full	Barsoum en-Given	Barsoum en-Family	Barsoum en-Titles	Barsoum ar-Page Num	Barsoum ar-Full	Barsoum ar-Given	Barsoum ar-Family	Barsoum ar-Titles	Barsoum Ar Entered	Barsoum ar-Notes	Barsoum Birthplace	Barsoum en-DOD	Barsoum en-DOD Standard	Barsoum en-DOD Not Before	Barsoum en-DOD Not After	Barsoum en-Floruit	Barsoum en-Floruit Standard	Barsoum en-Floruit Not Before	Barsoum en-Floruit Not After	Barsoum en-Century	Barsoum en Name Place	Barsoum en Name Place URI	Barsoum en Birthplace URI	Barsoum en Death Place URI	Barsoum en Other Place URI	Barsoum syr-Page Num	Barsoum syr-NV Full	Barsoum syr-NV Given	Barsoum syr-NV Family	Barsoum syr-NV Titles	Barsoum syr-V Full	Barsoum syr-V Given	Barsoum syr-V Family	Barsoum syr-V Titles	Necessary Corrections	Authorized syr-Source	Authorized syr-NV Full	Authorized syr-NV Given	Authorized syr-NV Family	Authorized syr-NV Titles	Authorized syr-Needs Review	Abdisho YdQ syr-NV Full	Abdisho YdQ syr-NV Given	Abdisho YdQ syr-NV Family	Abdisho YdQ syr-NV Titles	Abdisho YdQ syr-V Full	Abdisho YdQ syr-V Given	Abdisho YdQ syr-V Family	Abdisho YdQ syr-V Titles	Abdisho YdQ syr-Page Num	Abdisho BO syr-NV Full	Abdisho BO syr-NV Given	Abdisho BO syr-NV Family	Abdisho BO syr-NV Titles	Abdisho BO syr-V Full	Abdisho BO syr-V Given	Abdisho BO syr-V Family	Abdisho BO syr-V Titles	Abdisho BO syr-Page Num	Syriac Entered	GS en-Full	GS en-Given	GS en-Family	GS en-Titles	Other en-Full	Other en-Given	Other en-Family	Other en-Titles	Extended VIAF Updated	Extended VIAF needs correction	CBSC en-Full	CBSC en-Link	VIAF-Dates Raw	VIAF-DOB	VIAF-DOB Standard	VIAF-DOD	VIAF-DOD Standard	Display Date	Original Sort Order	Merge Row Number
Aristides of Athens	SRP	341	http://syriaca.org/person/341	NG			YES	http://viaf.org/hosted/syriac/32768					32768	2 C									http://viaf.org/viaf/87806962	http://worldcat.org/identities/lccn-no91-14418	http://viaf.org/viaf/167005488	http://viaf.org/viaf/89598383	http://viaf.org/viaf/88234607	http://viaf.org/viaf/67259030	http://viaf.org/viaf/193134223	http://viaf.org/viaf/208756856	http://viaf.org/viaf/210439390														31	46. Aristides of Athens	46	Aristides of Athens	Aristides		of Athens		JW	Mentioned on p.129 - TAC										2nd cent.																							Aristides	Aristides			115	اريستيد	اريستيد			TAC																		ܐܪܝܣܬܝܕ	ܐܪܝܣܬܝܕ			ܐܰܪܝܣܬܝܕ	ܐܰܪܝܣܬܝܕ				Barsoum																																		Need to enter Arabic - TAC 9/15/2012	Aristides	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Aristides&sT=keywords	100.00.00-00.00.00		0100			2nd cent.	332	369
Aristotle	SRP	342	http://syriaca.org/person/342	NG			YES	http://viaf.org/hosted/syriac/31480					31480	Didn't merge with http://viaf.org/hosted/syriac/32702/ because it seems to refer primarily to pseudo-Aristotle		?							http://viaf.org/viaf/7524651	http://worldcat.org/identities/viaf-7524651																					32	47. Aristotle	47	Aristotle	Aristotle				JW	Mentioned on p.181 - TAC		384 BC	-0383			322 BC	-0321																														156	ارسطاطاليس	ارسطاطاليس			TAC																		ܐܪܝܣܛܘܛܐܠܝܣ	ܐܪܝܣܛܘܛܐܠܝܣ			ܐܰܪܽܝܣܛܘܽܛܰܐܠܺܝܣ	ܐܰܪܽܝܣܛܘܽܛܰܐܠܺܝܣ				Barsoum																																		Need to enter Arabic - TAC 9/15/2012	Aristotle	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Aristotle&sT=keywords	-384.00.00--322.00.00		0384		0322	322 BC	333	366
Armalah, Isḥāq	SRP	343	http://syriaca.org/person/343	NG			YES	http://viaf.org/hosted/syriac/26426					26426										http://worldcat.org/identities/np-armala, ishaq$1879 1954	http://viaf.org/viaf/205465851	http://viaf.org/viaf/116977104	http://viaf.org/viaf/88943759	http://viaf.org/viaf/57032201	http://viaf.org/viaf/2650903	http://viaf.org/viaf/199049953																33	48. Armalah, Isḥāq	48	Armalah, Isḥāq	Isḥāq	Armalah			JW	mentioned on 457, 487		1879	1879			1954	1954																										Isḥāq Armala	Isḥāq	Armala		406	اسحق ارملة	اسحق	ارملة		TAC																		ܟܘܪܝ ܐܝܣܚܩ ܕܒܝܬ ܐܪܡܠܬܐ	ܐܝܣܚܩ	ܕܒܝܬ ܐܪܡܠܬܐ	ܟܘܪܝ	ܟܳܘܪܝ ܐܝܣܚܳܩ ܕܒܶܝܬ ܐܰܪܡܰܠܬܐ	ܐܝܣܚܳܩ	ܕܒܶܝܬ ܐܰܪܡܰܠܬܐ	ܟܳܘܪܝ		Other	ܐܝܣܚܩ ܕܒܝܬ ܐܪܡܠܬܐ	ܐܝܣܚܩ	ܕܒܝܬ ܐܪܡܠܬܐ																										Armalah, Isaac	Isaac	Armalah			Need to enter Arabic - TAC 9/15/2012			1879.00.00-1954.00.00		1879		1954	1954	334	365
Assemani, Elia	SRP	347	http://syriaca.org/person/347		NG		NO							Fl. ca. 1700								AV																							43	52. Assemani, Elia	52	Assemani, Elia	Elia	Assemani			JW	TAC										ca. 1700																																																																																								Assemani, Elijah	Elijah	Assemani											ca. 1700	336	
Assemani, Joseph Aloysius	SRP	348	http://syriaca.org/person/348		NG		NO							AKA Joseph Luigi Assemani? (See http://viaf.org/viaf/7381527)					Was he also known as Joseph Luigi Assemani (http://viaf.org/viaf/7381527) or is that a different person?		previous comments- additional links for Guisseppe Luigi 		http://viaf.org/viaf/233489446	http://viaf.org/viaf/238986568	http://viaf.org/viaf/207711688	http://viaf.org/viaf/209568597																			43	53. Assemani, Joseph Aloysius	53	Assemani, Joseph Aloysius	Joseph Aloysius	Assemani			JW	JNSL		1710	1710			1782	1782																																																																																																								1782	337	
Assemani, Josephus Simonius	SRP	349	http://syriaca.org/person/349	NG			YES	http://viaf.org/hosted/syriac/26781					26781										http://viaf.org/viaf/9927564	http://worldcat.org/identities/lccn-n88-20882	http://viaf.org/viaf/238028405	http://viaf.org/viaf/216968498																			43	54. Assemani, Josephus Simonius	54	Assemani, Josephus Simonius	Josephus Simonius	Assemani			JW	Mentioned on p.527 - TAC		1687	1687			1768	1768																										Metropolitan Joseph Simʿan al-Simʿani	Joseph Simʿan	al-Simʿani	Metropolitan	473	المطران يوسف سمعان السمعاني	يوسف سمعان	السمعاني	المطران	TAC																		ܡܝܛܪܘܦܘܠܝܛܬܐ ܫܡܥܘܢ ܫܡܥܘܢܝܐ	ܫܡܥܘܢ	ܫܡܥܘܢܝܐ	ܡܝܛܪܘܦܘܠܝܛܬܐ	ܡܝܛܪܘܦܘܠܝܛܐ ܫܶܡܥܘܢ ܫܶܡܥܘܢܳܝܳܐ	ܫܶܡܥܘܢ	ܫܶܡܥܘܢܳܝܳܐ	ܡܝܛܪܘܦܘܠܝܛܐ	Looks like an extra tau in "metropolitan" in Barsoum unvocalized Syriac	Other	ܫܡܥܘܢ ܫܡܥܘܢܝܐ	ܫܡܥܘܢ	ܫܡܥܘܢܝܐ																															Need to enter Arabic - TAC 9/15/2012			1687.00.00-1768.01.13		1687		1768-01-13	1768	338	364
Assemani, Stephanus Evodius	SRP	350	http://syriaca.org/person/350	NG			YES	http://viaf.org/hosted/syriac/29234					29234	Merged with http://viaf.org/hosted/syriac/34003/									http://viaf.org/viaf/39731448	http://worldcat.org/identities/lccn-n82-111288	http://viaf.org/viaf/90100749	http://worldcat.org/identities/viaf-90100749	http://viaf.org/viaf/122337155	http://viaf.org/viaf/39731448																	44	55. Assemani, Stephanus Evodius	55	Assemani, Stephanus Evodius	Stephanus Evodius	Assemani			JW	Mentioned in the list of Orientalists omitted by the English translator on p.528; in the Arabic edition on p.474 under year 1737 - TAC		1711	1711			1782	1782																														474	المطران اسطيفان عوَّاد السمعاني	اسطيفان عوَّاد	السمعاني	المطران	TAC																		ܡܝܛܪܘܦܘܠܝܛܐ ܐܣܛܝܦܐܢ ܥܘܐܕ ܫܡܥܘܢܝܐ	ܐܣܛܝܦܐܢ ܥܘܐܕ	ܫܡܥܘܢܝܐ	ܡܝܛܪܘܦܘܠܝܛܐ	ܡܝܛܪܘܦܘܠܝܛܐ ܐܶܣܛܰܝܦܰܐܢ ܥܰܘܰܐܕ ܫܶܡܥܘܢܳܝܳܐ	ܐܶܣܛܰܝܦܰܐܢ ܥܰܘܰܐܕ	ܫܶܡܥܘܢܳܝܳܐ	ܡܝܛܪܘܦܘܠܝܛܐ		Other	ܐܣܛܝܦܐܢ ܥܘܐܕ ܫܡܥܘܢܝܐ	ܐܣܛܝܦܐܢ ܥܘܐܕ	ܫܡܥܘܢܝܐ																															Need to enter Arabic - TAC 9/15/2012			1711.04.05-1782.11.24		1711-04-05		1782-11-24	1782	339	363
Assfalg, Julius	SRP	351	http://syriaca.org/person/351		NG		NO	http://viaf.org/viaf/97634705																																					44	56. Assfalg, Julius	56	Assfalg, Julius	Julius	Assfalg			JW	TAC		11/6/1919	1919-11-06			1/12/2001	2001-01-12																																																																																																								1/12/2001	340	
Asʿad, Gabriel	SRP	346	http://syriaca.org/person/346		NG		NO														http://viaf.org/viaf/22047994																								43	51. Asʿad, Gabriel	51	Asʿad, Gabriel	Gabriel	Asʿad			JW	TAC		1907	1907			1997	1997																																																																																																								1997	335	
Athanasios (VII) Abulfaraj bar Kamoro	SRP	201	http://syriaca.org/person/201		JW	JW	YES	http://viaf.org/hosted/syriac/37497					37497						Fuller documentation needed for Syriac headword.	GEDSH refers to this person as Athanasios (VII) Abulfaraj bar Kamoro (pg. 22, 60, 283).																									487			Athanasios (VII) Abulfaraj bar Kamoro	Athanasios Abulfaraj	bar Kamoro	(VII)			in barsoum														1090 – 1129	1090	1090			1129	1129										198	423	Athanasius VI	Athanasius VI	Athanasius		VI	374	اثانسيوس السادس	اثانسيوس		السادس	JK			1129	1129													403	ܐܬܐܢܐܣܝܘܣ ܫܬܝܬܝܐ	ܐܬܐܢܐܣܝܘܣ		ܫܬܝܬܝܐ	ܐܰܬܐܢܰܐܣܝܘܣ ܫܬܝܬܳܝܐ	ܐܰܬܐܢܰܐܣܝܘܣ		ܫܬܝܬܳܝܐ		Other	ܐܬܐܢܐܣܝܘܣ			ܐܬܐܢܐܣܝܘܣ																														Add CE-CH to Viaf [sic GEDSH p. 487] - TAC 2/25/13			00.00.00-1129.00.00				1129	1090	201	177
Athanasios Aṣlan	SRP	353	http://syriaca.org/person/353		NG		NO															AV																					NG	TAC	46	60. Athanasios Aṣlan	60	Athanasios Aṣlan	Athanasios Aṣlan				JW	Mentioned on p.549 under year 1707 - TAC						1741	1741																										Athanasius Aslan	Athanasius Aslan			496	اثناسيوس اصلان	اثناسيوس اصلان			TAC																		ܐܬܐܢܣܝܘܣ ܐܪܣܠܐܢ	ܐܬܐܢܣܝܘܣ ܐܪܣܠܐܢ			ܐܰܬܐܢܰܐܣܝܘܣ ܐܰܪܣܠܰܐܢ	ܐܰܬܐܢܰܐܣܝܘܣ ܐܰܪܣܠܰܐܢ				Barsoum																																		Need to enter Arabic - TAC 9/15/2012								1741	341	
Athanasios I Gamolo	SRP	88	http://syriaca.org/person/88	JW		JW	YES	http://viaf.org/hosted/syriac/36212					36212										http://viaf.org/viaf/100910340	http://viaf.org/viaf/205249471	http://viaf.org/viaf/163763853	http://viaf.org/viaf/239784007	http://viaf.org/viaf/97635296	http://viaf.org/viaf/89600148																	45			Athanasios I Gamolo	Athanasios	Gamolo	I			not in barsoum																													JW	83	318	Athanasius I Gamolo	Athanasius I Gamolo	Athanasius	Gamolo	I	277	اثناسيوس الاول الجَّمال	اثناسيوس	الجَّمال	الاول	JK							631	0631									303	ܐܬܢܐܣܝܘܣ ܩܕܡܝܐ ܓܡܠܐ	ܐܬܢܐܣܝܘܣ	ܓܡܠܐ	ܩܕܡܝܐ	ܐܰܬܰܢܰܐܣܝܘܣ ܩܰܕܡܳܝܐ ܓܰܡܳܠܳܐ	ܐܰܬܰܢܰܐܣܝܘܣ	ܓܰܡܳܠܳܐ	ܩܰܕܡܳܝܐ		Barsoum																													Athanasius I Gamolo	Athanasius	Gamolo	I			Athanasius Gammala	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Athanasius Gammala&sT=keywords	00.00.00-631.00.00				0631	631	87	18
Athanasios II of Balad	SRP	109	http://syriaca.org/person/109		JW	JW	YES	http://viaf.org/hosted/syriac/36832					36832										http://worldcat.org/identities/np-de%20balad,%20athanasius	http://www.worldcat.org/title/athanasius-of-balad/oclc/727905749&referer=brief_results																					46			Athanasios II of Balad	Athanasios		II, of Balad																																	105	331	Athanasius II of Balad	Athanasius II of Balad	Athanasius 		II, of Balad	289	اثناسيوس البلدي	اثناسيوس		البلدي	JK			686	0686													315	ܐܬܢܐܣܝܘܣ ܕܬܪܝܢ ܒܠܕܝܐ	ܐܬܢܐܣܝܘܣ		ܕܬܪܝܢ ܒܠܕܝܐ	ܐܰܬܰܢܐܣܝܘܣ ܕܰܬܪܶܝܢ ܒܳܠܳܕܳܝܐ	ܐܰܬܰܢܐܣܝܘܣ		ܕܰܬܪܶܝܢ ܒܳܠܳܕܳܝܐ		Barsoum																													Athanasius II of Balad	Athanasius		II, of Balad			Athanasius II of Baladh	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Athanasius II of Baladh&sT=keywords	00.00.00-686.00.00				0686	686	109	88
Athanasius of Alexandria	SRP	354	http://syriaca.org/person/354	NG			YES	http://viaf.org/hosted/syriac/28484					28484	Merged with http://viaf.org/hosted/syriac/33541 and http://viaf.org/hosted/syriac/33736/ The VIAF http://viaf.org/viaf/70834963 might conflatedly refer to Athan. of Alex. but I did not link to it.					Does http://viaf.org/viaf/70834963 include conflations with Athanasius of Alexandria?				http://viaf.org/viaf/105155222	http://worldcat.org/identities/lccn-n79-145591	http://viaf.org/viaf/101363898	http://viaf.org/viaf/90113505	http://worldcat.org/identities/viaf-90113505	http://viaf.org/viaf/230181193	http://viaf.org/viaf/192470376	http://viaf.org/viaf/105155233	http://viaf.org/viaf/89790373	http://viaf.org/viaf/90152004													46	61. Athanasius of Alexandria	61	Athanasius of Alexandria	Athanasius		of Alexandria		JW	Mentioned on p.167, #12 - TAC		ca. 296	0296			373	0373																														145	اثناسيوس الاسكندري	اثناسيوس		الاسكندري	TAC																		ܐܬܢܐܣܝܘܣ ܕܐܠܟܣܢܕܪܝܐ	ܐܬܢܐܣܝܘܣ		ܕܐܠܟܣܢܕܪܝܐ	ܐܰܬܰܢܰܐܣܺܝܘܣ ܕܰܐܠܟܣܰܢܕܪܝܰܐ	ܐܰܬܰܢܰܐܣܺܝܘܣ		ܕܰܐܠܟܣܰܢܕܪܝܰܐ		Abdisho						ܐܬܢܣܝܣ ܕܐܠܟܣܢܕܪܝܐ	ܐܬܢܣܝܣ		ܕܐܠܟܣܢܕܪܝܐ	ܐܵܬܵܢܵܣܝܼܣ ܕܐܵܠܸܟܣܲܢܕܪܝܼܵܐ	ܐܵܬܵܢܵܣܝܼܣ		ܕܐܵܠܸܟܣܲܢܕܪܝܼܵܐ	64	ܐܬܐܢܣܝܘܣ ܕܐܠܟܣܢܕܪܝܐ	ܐܬܐܢܣܝܘܣ		ܕܐܠܟܣܢܕܪܝܐ	ܐܰܬܰܐܢܰܣܝܳܘܣ ܕܰܐܠܟܶܣܰܢܕܪܺܝܰܐ	ܐܰܬܰܐܢܰܣܝܳܘܣ		ܕܰܐܠܟܶܣܰܢܕܪܺܝܰܐ	19	TAC										Need to enter Arabic - TAC 9/15/2012	Athanasius of Alexandria	http://www.csc.org.il/db/browse.aspx?db=SB&sL=A&sK=Athanasius of Alexandria&sT=keywords	ca 296.00.00-373.00.00		0296		0373	373	342	362
Audo, Toma	SRP	355	http://syriaca.org/person/355	NG			YES	http://viaf.org/hosted/syriac/25067					25067	Merged with http://viaf.org/hosted/syriac/33367									http://viaf.org/viaf/88464766	http://worldcat.org/identities/lccn-no2009-67464	http://viaf.org/viaf/98480195	http://worldcat.org/identities/viaf-98480195	http://viaf.org/viaf/236268468																		47	62. Audo, Toma	62	Audo, Toma	Toma	Audo			JW	Mentioned on p.26, n.2 - TAC		1855	1855			7/27/1918	1918-07-27																										Tuma Odo	Tuma	Odo		34	المطران توما اودو	توما	اودو	المطران توما	TAC																		ܡܝܛܪܘܦܘܠܝܛܐ ܟܠܕܝܐ ܬܐܘܡܐ ܐܘܕܐ	ܬܐܘܡܐ	ܐܘܕܐ	ܡܝܛܪܘܦܘܠܝܛܐ ܟܠܕܝܐ	ܡܝܛܪܘܦܘܠܝܛܐ ܟܰܠܕܳܝܐ ܬܐܘܡܰܐ ܐܘܕܳܐ	ܬܐܘܡܰܐ	ܐܘܕܳܐ	ܡܝܛܪܘܦܘܠܝܛܐ ܟܰܠܕܳܝܐ		Other	ܬܐܘܡܐ ܐܘܕܐ	ܬܐܘܡܐ	ܐܘܕܐ																										Audo, Thomas	Thomas	Audo			Need to enter Arabic - TAC 9/15/2012	Toma Audo	http://www.csc.org.il/db/browse.aspx?db=SB&sL=T&sK=Toma Audo&sT=keywords	1855.10.11-1918.07.27		1855-10-11		1918-07-27	7/27/1918	343	361
Awgen, Mar	SRP	356	http://syriaca.org/person/356		NG		NO															AV																							48	63. Awgen, Mar	63	Awgen, Mar	Awgen		Mar	?	JW	Mentioned on p.169, #7 - TAC																															169		Eugene the Copt	Eugene		the Copt	147	اوجين القبطي	اوجين		القبطي	TAC																	168	ܐܘܓܝܢ ܐܝܓܘܦܛܝ	ܐܘܓܝܢ		ܐܝܓܘܦܛܝ	ܐܰܘܓܺܝܢ ܐܺܝܓܘܽܦܛܳܝ	ܐܰܘܓܺܝܢ		ܐܺܝܓܘܽܦܛܳܝ		Other	ܡܪܝ ܐܘܓܝܢ	ܐܘܓܝܢ		ܡܪܝ	TAC																								Eugene, Mar	Eugene		Mar		Need to enter Arabic - TAC 9/15/2012	Mar Awgen	http://www.csc.org.il/db/browse.aspx?db=SB&sL=M&sK=Mar Awgen&sT=keywords							757	
Aydin, Nuʿmān	SRP	357	http://syriaca.org/person/357		NG		NO															AV																							48	64. Aydin, Nuʿmān	64	Aydin, Nuʿmān	Nuʿmān	Aydin			JW	TAC		1908	1908			2001	2001																																																																																																								2001	344	
Ayyub, Barsoum	SRP	358	http://syriaca.org/person/358	NG			YES	http://viaf.org/hosted/syriac/35473					35473										http://worldcat.org/identities/np-ayyub, barsum yusuf	http://viaf.org/viaf/14481082																					49	65. Ayyub, Barsoum	65	Ayyub, Barsoum	Barsoum	Ayyub			JW	TAC		1932	1932			1998	1998																																																																																																			1932.00.00-1998.00.00		1932		1998	1998	345	360
Babai of Nisibis	SRP	360	http://syriaca.org/person/360		NG		NO							6/7 C					Does http://viaf.org/viaf/233270411 use dates from Babai the Great but refer to Babai of Nisibis?			AV																							50	67. Babai of Nisibis	67	Babai of Nisibis	Babai		of Nisibis		JW	TAC										6th/7th cent.																																																											Abdisho						ܒܒܝ ܒܪ ܢܨ̈ܝܒܢܝܐ	ܒܒܝ		ܒܪ ܢܨ̈ܝܒܢܝܐ	ܒܵܒܲܝ ܒܲܪ ܢܨ̈ܝܼܒܢܵܝܹܐ	ܒܵܒܲܝ		ܒܲܪ ܢܨ̈ܝܼܒܢܵܝܹܐ	77	ܒܒܝ ܒܪ ܢܨ̈ܝܒܢܝܐ	ܒܒܝ		ܒܪ ܢܨ̈ܝܒܢܝܐ					177	TAC											Babai of Nisibis	http://www.csc.org.il/db/browse.aspx?db=SB&sL=B&sK=Babai of Nisibis&sT=keywords						6th/7th cent.	347	
Babai the Great	SRP	359	http://syriaca.org/person/359	NG			YES	http://viaf.org/hosted/syriac/34128					34128	Didn't link to http://viaf.org/viaf/233270411 because it conflates Babai the Great and Babai of Nisibis									http://viaf.org/viaf/16192074	http://worldcat.org/identities/lccn-n85-44888	http://viaf.org/viaf/244039429	http://viaf.org/viaf/195937789	http://viaf.org/viaf/76706750	http://viaf.org/viaf/69321841																	49	66. Babai the Great	66	Babai the Great	Babai		the Great		JW	Is this (or the following) "Babai the writer" on p.140? - TAC		ca. 551	0551			628	0628																																																														Abdisho						ܒܒܝ ܪܒܐ	ܒܒܝ		ܪܒܐ	ܒܵܒܲܝ ܪܲܒܵܐ	ܒܵܒܲܝ		ܪܲܒܵܐ	71	ܒܒܝ ܪܒܐ	ܒܒܝ		ܪܒܐ					88	TAC											Babai the Great	http://www.csc.org.il/db/browse.aspx?db=SB&sL=B&sK=Babai the Great&sT=keywords	553.00.00-628.00.00		0553		0628	628	346	359
Balai	SRP	27	http://syriaca.org/person/27	DAM			YES	http://viaf.org/hosted/syriac/27391					27391										http://viaf.org/viaf/68465360	http://worldcat.org/identities/lccn-nb2008-27376	http://worldcat.org/identities/np-balaeus$chorepiscopum																				53			Balai	Balai					in barsoum																													JW	24	243	Balai, bishop of Balsh	Balai, bishop of Balsh	Balai		bishop of Balsh	209	بالاي اسقف بالش	بالاي		اسقف بالش	JK																	235	ܒܠܝ ܐܦܝܣܩܘܦܐ ܕܒܠܫ	ܒܠܝ		ܐܦܝܣܩܘܦܐ ܕܒܠܫ	ܒܰܠܰܝ ܐܶܦܝܣܩܘܦܳܐ ܕܒܳܠܳܫ	ܒܰܠܰܝ		ܐܶܦܝܣܩܘܦܳܐ ܕܒܳܠܳܫ		Other	ܒܠܝ	ܒܠܝ																																			300.00.00-460.00.00		0300		0460	0460	28	384
Bar Bahlul, Ḥasan	SRP	365	http://syriaca.org/person/365	NG			YES	http://viaf.org/hosted/syriac/28015					28015	Mid 10 C									http://viaf.org/viaf/162798051	http://worldcat.org/identities/lccn-n87-933250	http://viaf.org/viaf/244010911	http://viaf.org/viaf/212325043	http://viaf.org/viaf/211316479	http://viaf.org/viaf/191120774	http://viaf.org/viaf/22240128	http://viaf.org/viaf/7775614													NG	TAC	54	73. Bar Bahlul, Ḥasan	73	Bar Bahlul, Ḥasan	Ḥasan	Bar Bahlul			JW	Mentioned on p.26 - TAC										mid-10th cent.																							al-Ḥasan Bar Bahlul al-Awāni al-Ṭirhāni	al-Ḥasan	Bar Bahlul	al-Awāni al-Ṭirhāni	33	الحسن بن بهلول الاواني الطيرهاني	الحسن	بن بهلول	الاواني الطيرهاني	TAC	Should the alif lam be removed from the beginning of Hasan's name? - NG Not if we preserve source spelling, but we can mark it to be corrected - TAC																	ܚܣܢ ܒܪ ܒܗܠܘܠ ܐܠܐܘܐܢܝܐ	ܚܣܢ	ܒܪ ܒܗܠܘܠ	ܐܠܐܘܐܢܝܐ	ܚܰܣܢ ܒܰܪ ܒܰܗܠܘܠ ܐܠܐܘܐܢܳܝܐ	ܚܰܣܢ	ܒܰܪ ܒܰܗܠܘܠ	ܐܠܐܘܐܢܳܝܐ	Remove al- from name in Barsoum English and Arabic? - TAC	Other	ܚܣܢ ܒܪ ܒܗܠܘܠ	ܚܣܢ	ܒܪ ܒܗܠܘܠ			ܒܪ ܒܗܠܘܠ		ܒܪ ܒܗܠܘܠ		ܒܲܪ ܒܲܗܠܘܼܠ		ܒܲܪ ܒܲܗܠܘܼܠ		81	ܒܪ ܒܗܠܘܠ		ܒܪ ܒܗܠܘܠ						257	TAC										Need to enter Arabic - TAC 9/15/2012	bar Bahlul	http://www.csc.org.il/db/browse.aspx?db=SB&sL=b&sK=bar Bahlul&sT=keywords	900.00.00-00.00.00		0900			mid-10th cent.	349	358
Bar ʿAli, Ishoʿ	SRP	364	http://syriaca.org/person/364		NG		NO	http://viaf.org/viaf/88939764						2nd half of 9 C																															53	72. Bar ʿAli, Ishoʿ	72	Bar ʿAli, Ishoʿ	Ishoʿ	Bar ʿAli			JW	Mentioned on p.26 - TAC										second half of 9th cent.																							Yeshuʿ Bar ʿAli	Yeshuʿ	Bar ʿAli		33	يشوع بن علي	يشوع	بن علي		TAC																		ܝܫܘܥ ܒܪ ܥܠܝ	ܝܫܘܥ	ܒܪ ܥܠܝ		ܝܶܫܘܥ ܒܰܪ ܥܰܠܝ	ܝܶܫܘܥ	ܒܰܪ ܥܰܠܝ			Abdisho						ܝܫܘܥ ܒܪ ܥܠܝ	ܝܫܘܥ	ܒܪ ܥܠܝ		ܝܼܫܘܿܥ ܒܲܪ ܥܲܠܝܼ	ܝܼܫܘܿܥ	ܒܲܪ ܥܲܠܝܼ		81	ܝܫܘܥ ܒܪ ܥܠܝ	ܝܫܘܥ	ܒܪ ܥܠܝ						257	TAC					Bar ʿAli, Joshua	Joshua	Bar ʿAli			Need to enter Arabic - TAC 9/15/2012	bar Ali	http://www.csc.org.il/db/browse.aspx?db=SB&sL=b&sK=bar Ali&sT=keywords						second half of 9th cent.	348	
